ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"114.29.212.145","elite","AS13445","SG","Cisco Webex LLC","250","Webex Communications Inc","80","socks4","4593","1","2024-01-29T01:31:50.831Z","99","5727","5775"
"202.159.107.209","elite","AS9340","ID","PT IndoInternet","189","N/A","443","socks4","5097","1","2024-01-29T01:31:50.740Z","100","5819","5823"
"51.75.173.161","elite","AS16276","GB","OVH SAS","9","Serverfrus Amin","1080","socks4","3617","81","2024-01-29T01:31:50.845Z","100","5986","6003"
"115.42.64.40","elite","AS132165","PK","Connect Communication","145","Connect Communication","5678","socks4","796","1","2024-01-29T01:31:50.741Z","95","5546","5858"
"82.66.49.123","elite","AS12322","FR","Proxad / Free SAS","8","ProXad network / Free SA","80","socks5","5305","1","2024-01-29T01:31:50.833Z","100","5728","5733"
"110.78.149.65","elite","AS131090","TH","CAT-BB","282","N/A","4145","socks4","3403","1","2024-01-29T01:31:47.726Z","78","4559","5865"
"125.114.238.37","elite","AS4134","CN","Chinanet","197","N/A","8080","socks5","4398","81","2024-01-29T01:31:47.639Z","12","719","5792"
"89.25.23.210","elite","AS41313","BG","\"NOVATEL\" EOOD","45","\"NOVATEL\" EOOD","41313","socks4","4996","1","2024-01-29T01:31:47.728Z","100","5822","5831"
"91.227.105.231","elite","AS51944","PL","DARIUSZ WESOLOWSKI trading as PROMEDIA NOWICKI WESOLOWSKI Sp.J","82","PROMEDIA NOWICKI WESOLOWSKI Sp.J","5678","socks4","2796","1","2024-01-29T01:31:44.727Z","68","4028","5916"
"193.106.57.96","elite","AS42510","UA","Magic Line","42","PE \"Magic-line\"","5678","socks4","1209","1","2024-01-29T01:31:44.644Z","93","5525","5910"
"118.67.216.94","elite","AS58923","BD","InterCloud Limited","170","InterCloud ltd","4145","socks4","5315","1","2024-01-29T01:31:44.640Z","96","5639","5862"
"211.144.20.13","elite","AS4808","CN","BGTELECOM","174","Bgtelecom","8080","socks4","1201","1","2024-01-29T01:31:44.643Z","90","5227","5799"
"24.14.164.57","elite","AS33491","US","Comcast Cable Communications, LLC","196","Comcast Cable Communications","8205","socks4","3903","1","2024-01-29T01:31:44.642Z","100","5793","5795"
"218.1.200.137","elite","AS4812","CN","China Telecom","196","N/A","57114","socks4","4702","1","2024-01-29T01:31:40.842Z","50","2899","5813"
"64.90.54.17","elite","AS26347","US","New Dream Network, LLC","186","New Dream Network, LLC","63770","socks5","4614","1","2024-01-29T01:31:40.842Z","100","5869","5878"
"195.211.244.190","elite","AS50712","RU","Kavkaz Internet Service Ltd.","79","Kavkaz Internet Service Ltd.","3629","socks4","4300","1","2024-01-29T01:31:40.838Z","98","5677","5796"
"66.97.37.164","elite","AS27823","AR","Dattatec.com","287","Dattatec Corp","80","socks4","3795","1","2024-01-29T01:31:40.840Z","100","5888","5902"
"62.94.218.90","elite","AS3302","IT","Clouditalia S.p.A.","34","N/A","15589","socks5","2714","1","2024-01-29T01:31:40.936Z","99","5706","5751"
"178.249.218.34","elite","AS44219","IT","ICCOM s.r.l.","19","N/A","5678","socks5","4991","85","2024-01-29T01:31:40.843Z","95","5578","5851"
"103.85.230.241","elite","AS203020","FR","Maxcon Solution Pvt. Ltd","28","Maxcon Solution Pvt. Ltd.","8080","socks4","469","1","2024-01-29T01:31:38.029Z","67","3903","5842"
"106.75.154.243","elite","AS58466","CN","UCLOUD","284","Shanghai UCloud Information Technology Company Limited","999","socks4","4598","1","2024-01-29T01:31:38.032Z","80","4600","5775"
